Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,BIKE-L1,PQC,Decapsulation,8,0.042601,6392,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,8,0.181770,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,8,0.000298,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,8,0.066559,6392,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,9,0.005336,6392,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,9,0.000108,6392,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,9,0.000096,6392,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,9,0.051508,6392,100%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,9,0.002763,6392,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,9,0.042356,6392,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,9,0.354764,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,9,0.000307,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,9,0.066503,6392,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,10,0.005326,6136,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,10,0.000118,6136,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,10,0.000089,6136,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,10,0.053040,6136,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,10,0.002773,6136,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,10,0.042044,6136,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,10,0.700432,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,10,0.000402,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,10,0.066622,6136,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,11,0.005293,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,11,0.000108,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,11,0.000099,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,11,0.051667,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,11,0.002756,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,11,0.042397,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,11,0.475691,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,11,0.000414,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,11,0.066659,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,12,0.005845,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,12,0.000116,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,12,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,12,0.051464,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,12,0.002766,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,12,0.042304,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,12,0.787896,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,12,0.000342,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,12,0.066549,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,13,0.005365,6388,99%
