Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,KeyGen,1,0.000501
Laptop,ECDH,Classical,SharedSecret,1,0.000043
Laptop,ECDSA,Classical,Sign,1,0.000103
Laptop,ECDSA,Classical,Verify,1,0.000004
Laptop,ECDH,Classical,KeyGen,2,0.000622
Laptop,ECDH,Classical,SharedSecret,2,0.000041
Laptop,ECDSA,Classical,Sign,2,0.000085
Laptop,ECDSA,Classical,Verify,2,0.000003
Laptop,ECDH,Classical,KeyGen,3,0.000469
Laptop,ECDH,Classical,SharedSecret,3,0.000045
Laptop,ECDSA,Classical,Sign,3,0.000100
Laptop,ECDSA,Classical,Verify,3,0.000004
Laptop,ECDH,Classical,KeyGen,4,0.000536
Laptop,ECDH,Classical,SharedSecret,4,0.000051
Laptop,ECDSA,Classical,Sign,4,0.000101
Laptop,ECDSA,Classical,Verify,4,0.000004
Laptop,ECDH,Classical,KeyGen,5,0.000461
Laptop,ECDH,Classical,SharedSecret,5,0.000046
Laptop,ECDSA,Classical,Sign,5,0.000100
Laptop,ECDSA,Classical,Verify,5,0.000004
Laptop,ECDH,Classical,KeyGen,6,0.000423
Laptop,ECDH,Classical,SharedSecret,6,0.000066
Laptop,ECDSA,Classical,Sign,6,0.000112
Laptop,ECDSA,Classical,Verify,6,0.000004
Laptop,ECDH,Classical,KeyGen,7,0.000502
Laptop,ECDH,Classical,SharedSecret,7,0.000045
Laptop,ECDSA,Classical,Sign,7,0.000101
Laptop,ECDSA,Classical,Verify,7,0.000004
Laptop,ECDH,Classical,KeyGen,8,0.000468
Laptop,ECDH,Classical,SharedSecret,8,0.000048
Laptop,ECDSA,Classical,Sign,8,0.000103
Laptop,ECDSA,Classical,Verify,8,0.000004
Laptop,ECDH,Classical,KeyGen,9,0.000460
Laptop,ECDH,Classical,SharedSecret,9,0.000038
Laptop,ECDSA,Classical,Sign,9,0.000085
Laptop,ECDSA,Classical,Verify,9,0.000003
Laptop,ECDH,Classical,KeyGen,10,0.000460
