Device,Algorithm,Type,Operation,Iteration,Time
Raspberry PI,ECDH,Classical,SharedSecret,24,0.000277
Raspberry PI,ECDSA,Classical,Sign,24,0.000658
Raspberry PI,ECDSA,Classical,Verify,24,0.000050
Raspberry PI,ECDH,Classical,KeyGen,25,0.003564
Raspberry PI,ECDH,Classical,SharedSecret,25,0.000398
Raspberry PI,ECDSA,Classical,Sign,25,0.000628
Raspberry PI,ECDSA,Classical,Verify,25,0.000045
Raspberry PI,ECDH,Classical,KeyGen,26,0.003373
Raspberry PI,ECDH,Classical,SharedSecret,26,0.000279
Raspberry PI,ECDSA,Classical,Sign,26,0.000637
Raspberry PI,ECDSA,Classical,Verify,26,0.000043
Raspberry PI,ECDH,Classical,KeyGen,27,0.002555
Raspberry PI,ECDH,Classical,SharedSecret,27,0.000288
Raspberry PI,ECDSA,Classical,Sign,27,0.000786
Raspberry PI,ECDSA,Classical,Verify,27,0.000050
Raspberry PI,ECDH,Classical,KeyGen,28,0.002465
Raspberry PI,ECDH,Classical,SharedSecret,28,0.000364
Raspberry PI,ECDSA,Classical,Sign,28,0.000859
Raspberry PI,ECDSA,Classical,Verify,28,0.000063
Raspberry PI,ECDH,Classical,KeyGen,29,0.002520
Raspberry PI,ECDH,Classical,SharedSecret,29,0.000272
Raspberry PI,ECDSA,Classical,Sign,29,0.000545
Raspberry PI,ECDSA,Classical,Verify,29,0.000035
Raspberry PI,ECDH,Classical,KeyGen,30,0.003416
Raspberry PI,ECDH,Classical,SharedSecret,30,0.000289
Raspberry PI,ECDSA,Classical,Sign,30,0.000718
Raspberry PI,ECDSA,Classical,Verify,30,0.000044
Raspberry PI,ECDH,Classical,KeyGen,31,0.002979
Raspberry PI,ECDH,Classical,SharedSecret,31,0.000278
Raspberry PI,ECDSA,Classical,Sign,31,0.000616
Raspberry PI,ECDSA,Classical,Verify,31,0.000036
Raspberry PI,ECDH,Classical,KeyGen,32,0.002871
Raspberry PI,ECDH,Classical,SharedSecret,32,0.000273
Raspberry PI,ECDSA,Classical,Sign,32,0.000549
Raspberry PI,ECDSA,Classical,Verify,32,0.000034
Raspberry PI,ECDH,Classical,KeyGen,33,0.003494
Raspberry PI,ECDH,Classical,SharedSecret,33,0.000277
Raspberry PI,ECDSA,Classical,Sign,33,0.000680
Raspberry PI,ECDSA,Classical,Verify,33,0.000042
Raspberry PI,ECDH,Classical,KeyGen,34,0.003464
Raspberry PI,ECDH,Classical,SharedSecret,34,0.000274
Raspberry PI,ECDSA,Classical,Sign,34,0.000617
Raspberry PI,ECDSA,Classical,Verify,34,0.000044
Raspberry PI,ECDH,Classical,KeyGen,35,0.002511
Raspberry PI,ECDH,Classical,SharedSecret,35,0.000350
Raspberry PI,ECDSA,Classical,Sign,35,0.000873
Raspberry PI,ECDSA,Classical,Verify,35,0.000061
Raspberry PI,ECDH,Classical,KeyGen,36,0.002508
Raspberry PI,ECDH,Classical,SharedSecret,36,0.000302
Raspberry PI,ECDSA,Classical,Sign,36,0.000828
Raspberry PI,ECDSA,Classical,Verify,36,0.000065
Raspberry PI,ECDH,Classical,KeyGen,37,0.002506
Raspberry PI,ECDH,Classical,SharedSecret,37,0.000272
Raspberry PI,ECDSA,Classical,Sign,37,0.000550
Raspberry PI,ECDSA,Classical,Verify,37,0.000124
Raspberry PI,ECDH,Classical,KeyGen,38,0.004628
Raspberry PI,ECDH,Classical,SharedSecret,38,0.000275
Raspberry PI,ECDSA,Classical,Sign,38,0.000662
Raspberry PI,ECDSA,Classical,Verify,38,0.000048
Raspberry PI,ECDH,Classical,KeyGen,39,0.002969
Raspberry PI,ECDH,Classical,SharedSecret,39,0.000278
Raspberry PI,ECDSA,Classical,Sign,39,0.000624
Raspberry PI,ECDSA,Classical,Verify,39,0.000038
Raspberry PI,ECDH,Classical,KeyGen,40,0.003195
Raspberry PI,ECDH,Classical,SharedSecret,40,0.000277
Raspberry PI,ECDSA,Classical,Sign,40,0.000651
Raspberry PI,ECDSA,Classical,Verify,40,0.000047
Raspberry PI,ECDH,Classical,KeyGen,41,0.003201
Raspberry PI,ECDH,Classical,SharedSecret,41,0.000288
Raspberry PI,ECDSA,Classical,Sign,41,0.000673
Raspberry PI,ECDSA,Classical,Verify,41,0.000045
Raspberry PI,ECDH,Classical,KeyGen,42,0.002486
Raspberry PI,ECDH,Classical,SharedSecret,42,0.000288
Raspberry PI,ECDSA,Classical,Sign,42,0.000822
Raspberry PI,ECDSA,Classical,Verify,42,0.000062
Raspberry PI,ECDH,Classical,KeyGen,43,0.002516
Raspberry PI,ECDH,Classical,SharedSecret,43,0.000273
Raspberry PI,ECDSA,Classical,Sign,43,0.000542
Raspberry PI,ECDSA,Classical,Verify,43,0.000034
Raspberry PI,ECDH,Classical,KeyGen,44,0.002714
Raspberry PI,ECDH,Classical,SharedSecret,44,0.000272
Raspberry PI,ECDSA,Classical,Sign,44,0.000546
Raspberry PI,ECDSA,Classical,Verify,44,0.000036
Raspberry PI,ECDH,Classical,KeyGen,45,0.003239
Raspberry PI,ECDH,Classical,SharedSecret,45,0.000279
Raspberry PI,ECDSA,Classical,Sign,45,0.000730
Raspberry PI,ECDSA,Classical,Verify,45,0.000047
Raspberry PI,ECDH,Classical,KeyGen,46,0.003201
Raspberry PI,ECDH,Classical,SharedSecret,46,0.000278
Raspberry PI,ECDSA,Classical,Sign,46,0.000673
Raspberry PI,ECDSA,Classical,Verify,46,0.000053
Raspberry PI,ECDH,Classical,KeyGen,47,0.003286
Raspberry PI,ECDH,Classical,SharedSecret,47,0.000371
Raspberry PI,ECDSA,Classical,Sign,47,0.000662
Raspberry PI,ECDSA,Classical,Verify,47,0.000043
Raspberry PI,ECDH,Classical,KeyGen,48,0.002531
Raspberry PI,ECDH,Classical,SharedSecret,48,0.000275
Raspberry PI,ECDSA,Classical,Sign,48,0.000821
Raspberry PI,ECDSA,Classical,Verify,48,0.000055
Raspberry PI,ECDH,Classical,KeyGen,49,0.002729
Raspberry PI,ECDH,Classical,SharedSecret,49,0.000277
Raspberry PI,ECDSA,Classical,Sign,49,0.000584
Raspberry PI,ECDSA,Classical,Verify,49,0.000043
Raspberry PI,ECDH,Classical,KeyGen,50,0.002450
Raspberry PI,ECDH,Classical,SharedSecret,50,0.000273
Raspberry PI,ECDSA,Classical,Sign,50,0.000576
Raspberry PI,ECDSA,Classical,Verify,50,0.000036
Raspberry PI,ECDH,Classical,KeyGen,51,0.002725
Raspberry PI,ECDH,Classical,SharedSecret,51,0.000307
Raspberry PI,ECDSA,Classical,Sign,51,0.000569
Raspberry PI,ECDSA,Classical,Verify,51,0.000034
Raspberry PI,ECDH,Classical,KeyGen,52,0.003222
Raspberry PI,ECDH,Classical,SharedSecret,52,0.000276
Raspberry PI,ECDSA,Classical,Sign,52,0.000698
Raspberry PI,ECDSA,Classical,Verify,52,0.000049
Raspberry PI,ECDH,Classical,KeyGen,53,0.003133
Raspberry PI,ECDH,Classical,SharedSecret,53,0.000284
Raspberry PI,ECDSA,Classical,Sign,53,0.000794
Raspberry PI,ECDSA,Classical,Verify,53,0.000045
Raspberry PI,ECDH,Classical,KeyGen,54,0.003061
Raspberry PI,ECDH,Classical,SharedSecret,54,0.000284
Raspberry PI,ECDSA,Classical,Sign,54,0.000901
Raspberry PI,ECDSA,Classical,Verify,54,0.000045
Raspberry PI,ECDH,Classical,KeyGen,55,0.002671
Raspberry PI,ECDH,Classical,SharedSecret,55,0.000282
Raspberry PI,ECDSA,Classical,Sign,55,0.000896
Raspberry PI,ECDSA,Classical,Verify,55,0.000061
Raspberry PI,ECDH,Classical,KeyGen,56,0.002514
Raspberry PI,ECDH,Classical,SharedSecret,56,0.000273
Raspberry PI,ECDSA,Classical,Sign,56,0.000866
Raspberry PI,ECDSA,Classical,Verify,56,0.000069
Raspberry PI,ECDH,Classical,KeyGen,57,0.002706
Raspberry PI,ECDH,Classical,SharedSecret,57,0.000272
Raspberry PI,ECDSA,Classical,Sign,57,0.000546
Raspberry PI,ECDSA,Classical,Verify,57,0.000035
Raspberry PI,ECDH,Classical,KeyGen,58,0.003031
Raspberry PI,ECDH,Classical,SharedSecret,58,0.000277
Raspberry PI,ECDSA,Classical,Sign,58,0.000665
Raspberry PI,ECDSA,Classical,Verify,58,0.000046
Raspberry PI,ECDH,Classical,KeyGen,59,0.003262
Raspberry PI,ECDH,Classical,SharedSecret,59,0.000283
Raspberry PI,ECDSA,Classical,Sign,59,0.000613
Raspberry PI,ECDSA,Classical,Verify,59,0.000044
Raspberry PI,ECDH,Classical,KeyGen,60,0.002948
Raspberry PI,ECDH,Classical,SharedSecret,60,0.000285
Raspberry PI,ECDSA,Classical,Sign,60,0.000723
Raspberry PI,ECDSA,Classical,Verify,60,0.000056
Raspberry PI,ECDH,Classical,KeyGen,61,0.002646
Raspberry PI,ECDH,Classical,SharedSecret,61,0.000276
Raspberry PI,ECDSA,Classical,Sign,61,0.000811
Raspberry PI,ECDSA,Classical,Verify,61,0.000056
Raspberry PI,ECDH,Classical,KeyGen,62,0.002513
Raspberry PI,ECDH,Classical,SharedSecret,62,0.000318
Raspberry PI,ECDSA,Classical,Sign,62,0.000578
Raspberry PI,ECDSA,Classical,Verify,62,0.000036
Raspberry PI,ECDH,Classical,KeyGen,63,0.003170
Raspberry PI,ECDH,Classical,SharedSecret,63,0.000355
Raspberry PI,ECDSA,Classical,Sign,63,0.000704
Raspberry PI,ECDSA,Classical,Verify,63,0.000046
Raspberry PI,ECDH,Classical,KeyGen,64,0.003439
Raspberry PI,ECDH,Classical,SharedSecret,64,0.000278
Raspberry PI,ECDSA,Classical,Sign,64,0.000678
Raspberry PI,ECDSA,Classical,Verify,64,0.000045
Raspberry PI,ECDH,Classical,KeyGen,65,0.003049
Raspberry PI,ECDH,Classical,SharedSecret,65,0.000594
Raspberry PI,ECDSA,Classical,Sign,65,0.000764
Raspberry PI,ECDSA,Classical,Verify,65,0.000043
Raspberry PI,ECDH,Classical,KeyGen,66,0.003022
Raspberry PI,ECDH,Classical,SharedSecret,66,0.000281
Raspberry PI,ECDSA,Classical,Sign,66,0.000741
Raspberry PI,ECDSA,Classical,Verify,66,0.000054
Raspberry PI,ECDH,Classical,KeyGen,67,0.002468
Raspberry PI,ECDH,Classical,SharedSecret,67,0.000291
Raspberry PI,ECDSA,Classical,Sign,67,0.000847
Raspberry PI,ECDSA,Classical,Verify,67,0.000054
Raspberry PI,ECDH,Classical,KeyGen,68,0.002445
Raspberry PI,ECDH,Classical,SharedSecret,68,0.000273
Raspberry PI,ECDSA,Classical,Sign,68,0.000589
Raspberry PI,ECDSA,Classical,Verify,68,0.000041
Raspberry PI,ECDH,Classical,KeyGen,69,0.003538
Raspberry PI,ECDH,Classical,SharedSecret,69,0.000276
Raspberry PI,ECDSA,Classical,Sign,69,0.000650
Raspberry PI,ECDSA,Classical,Verify,69,0.000048
Raspberry PI,ECDH,Classical,KeyGen,70,0.003014
Raspberry PI,ECDH,Classical,SharedSecret,70,0.000277
Raspberry PI,ECDSA,Classical,Sign,70,0.000582
Raspberry PI,ECDSA,Classical,Verify,70,0.000035
Raspberry PI,ECDH,Classical,KeyGen,71,0.003225
Raspberry PI,ECDH,Classical,SharedSecret,71,0.000277
Raspberry PI,ECDSA,Classical,Sign,71,0.000641
Raspberry PI,ECDSA,Classical,Verify,71,0.000048
Raspberry PI,ECDH,Classical,KeyGen,72,0.002595
Raspberry PI,ECDH,Classical,SharedSecret,72,0.000287
Raspberry PI,ECDSA,Classical,Sign,72,0.000778
Raspberry PI,ECDSA,Classical,Verify,72,0.000053
Raspberry PI,ECDH,Classical,KeyGen,73,0.002535
Raspberry PI,ECDH,Classical,SharedSecret,73,0.000277
Raspberry PI,ECDSA,Classical,Sign,73,0.000730
Raspberry PI,ECDSA,Classical,Verify,73,0.000069
Raspberry PI,ECDH,Classical,KeyGen,74,0.002552
Raspberry PI,ECDH,Classical,SharedSecret,74,0.000273
Raspberry PI,ECDSA,Classical,Sign,74,0.000545
Raspberry PI,ECDSA,Classical,Verify,74,0.000035
Raspberry PI,ECDH,Classical,KeyGen,75,0.002799
Raspberry PI,ECDH,Classical,SharedSecret,75,0.000272
Raspberry PI,ECDSA,Classical,Sign,75,0.000546
Raspberry PI,ECDSA,Classical,Verify,75,0.000035
Raspberry PI,ECDH,Classical,KeyGen,76,0.002771
Raspberry PI,ECDH,Classical,SharedSecret,76,0.000272
Raspberry PI,ECDSA,Classical,Sign,76,0.000551
Raspberry PI,ECDSA,Classical,Verify,76,0.000035
Raspberry PI,ECDH,Classical,KeyGen,77,0.002947
Raspberry PI,ECDH,Classical,SharedSecret,77,0.000278
Raspberry PI,ECDSA,Classical,Sign,77,0.000648
Raspberry PI,ECDSA,Classical,Verify,77,0.000040
Raspberry PI,ECDH,Classical,KeyGen,78,0.003134
Raspberry PI,ECDH,Classical,SharedSecret,78,0.000276
Raspberry PI,ECDSA,Classical,Sign,78,0.000652
Raspberry PI,ECDSA,Classical,Verify,78,0.000048
Raspberry PI,ECDH,Classical,KeyGen,79,0.002833
Raspberry PI,ECDH,Classical,SharedSecret,79,0.000281
Raspberry PI,ECDSA,Classical,Sign,79,0.000844
Raspberry PI,ECDSA,Classical,Verify,79,0.000070
Raspberry PI,ECDH,Classical,KeyGen,80,0.002519
Raspberry PI,ECDH,Classical,SharedSecret,80,0.000274
Raspberry PI,ECDSA,Classical,Sign,80,0.000714
Raspberry PI,ECDSA,Classical,Verify,80,0.000055
Raspberry PI,ECDH,Classical,KeyGen,81,0.002597
Raspberry PI,ECDH,Classical,SharedSecret,81,0.000272
Raspberry PI,ECDSA,Classical,Sign,81,0.000547
Raspberry PI,ECDSA,Classical,Verify,81,0.000034
Raspberry PI,ECDH,Classical,KeyGen,82,0.002653
Raspberry PI,ECDH,Classical,SharedSecret,82,0.000273
Raspberry PI,ECDSA,Classical,Sign,82,0.000716
Raspberry PI,ECDSA,Classical,Verify,82,0.000037
Raspberry PI,ECDH,Classical,KeyGen,83,0.003087
Raspberry PI,ECDH,Classical,SharedSecret,83,0.000277
Raspberry PI,ECDSA,Classical,Sign,83,0.000664
Raspberry PI,ECDSA,Classical,Verify,83,0.000077
Raspberry PI,ECDH,Classical,KeyGen,84,0.003355
Raspberry PI,ECDH,Classical,SharedSecret,84,0.000289
Raspberry PI,ECDSA,Classical,Sign,84,0.000708
Raspberry PI,ECDSA,Classical,Verify,84,0.000044
Raspberry PI,ECDH,Classical,KeyGen,85,0.002991
Raspberry PI,ECDH,Classical,SharedSecret,85,0.000283
Raspberry PI,ECDSA,Classical,Sign,85,0.000739
Raspberry PI,ECDSA,Classical,Verify,85,0.000066
Raspberry PI,ECDH,Classical,KeyGen,86,0.002781
Raspberry PI,ECDH,Classical,SharedSecret,86,0.000282
Raspberry PI,ECDSA,Classical,Sign,86,0.000843
Raspberry PI,ECDSA,Classical,Verify,86,0.000071
Raspberry PI,ECDH,Classical,KeyGen,87,0.002499
Raspberry PI,ECDH,Classical,SharedSecret,87,0.000274
Raspberry PI,ECDSA,Classical,Sign,87,0.000611
Raspberry PI,ECDSA,Classical,Verify,87,0.000049
Raspberry PI,ECDH,Classical,KeyGen,88,0.002486
Raspberry PI,ECDH,Classical,SharedSecret,88,0.000272
Raspberry PI,ECDSA,Classical,Sign,88,0.000799
Raspberry PI,ECDSA,Classical,Verify,88,0.000048
Raspberry PI,ECDH,Classical,KeyGen,89,0.002488
Raspberry PI,ECDH,Classical,SharedSecret,89,0.000320
Raspberry PI,ECDSA,Classical,Sign,89,0.000549
Raspberry PI,ECDSA,Classical,Verify,89,0.000034
Raspberry PI,ECDH,Classical,KeyGen,90,0.002818
Raspberry PI,ECDH,Classical,SharedSecret,90,0.000273
Raspberry PI,ECDSA,Classical,Sign,90,0.000547
Raspberry PI,ECDSA,Classical,Verify,90,0.000035
Raspberry PI,ECDH,Classical,KeyGen,91,0.003061
Raspberry PI,ECDH,Classical,SharedSecret,91,0.000320
Raspberry PI,ECDSA,Classical,Sign,91,0.000664
Raspberry PI,ECDSA,Classical,Verify,91,0.000049
Raspberry PI,ECDH,Classical,KeyGen,92,0.003342
Raspberry PI,ECDH,Classical,SharedSecret,92,0.000286
Raspberry PI,ECDSA,Classical,Sign,92,0.000828
Raspberry PI,ECDSA,Classical,Verify,92,0.000045
Raspberry PI,ECDH,Classical,KeyGen,93,0.002587
Raspberry PI,ECDH,Classical,SharedSecret,93,0.000278
Raspberry PI,ECDSA,Classical,Sign,93,0.000809
Raspberry PI,ECDSA,Classical,Verify,93,0.000053
Raspberry PI,ECDH,Classical,KeyGen,94,0.002500
Raspberry PI,ECDH,Classical,SharedSecret,94,0.000272
Raspberry PI,ECDSA,Classical,Sign,94,0.000570
Raspberry PI,ECDSA,Classical,Verify,94,0.000043
Raspberry PI,ECDH,Classical,KeyGen,95,0.002573
Raspberry PI,ECDH,Classical,SharedSecret,95,0.000272
Raspberry PI,ECDSA,Classical,Sign,95,0.000556
Raspberry PI,ECDSA,Classical,Verify,95,0.000036
Raspberry PI,ECDH,Classical,KeyGen,96,0.003292
Raspberry PI,ECDH,Classical,SharedSecret,96,0.000299
Raspberry PI,ECDSA,Classical,Sign,96,0.000689
Raspberry PI,ECDSA,Classical,Verify,96,0.000048
Raspberry PI,ECDH,Classical,KeyGen,97,0.002910
Raspberry PI,ECDH,Classical,SharedSecret,97,0.000293
Raspberry PI,ECDSA,Classical,Sign,97,0.000856
Raspberry PI,ECDSA,Classical,Verify,97,0.000044
Raspberry PI,ECDH,Classical,KeyGen,98,0.003014
Raspberry PI,ECDH,Classical,SharedSecret,98,0.000286
Raspberry PI,ECDSA,Classical,Sign,98,0.000779
Raspberry PI,ECDSA,Classical,Verify,98,0.000056
Raspberry PI,ECDH,Classical,KeyGen,99,0.002450
Raspberry PI,ECDH,Classical,SharedSecret,99,0.000273
Raspberry PI,ECDSA,Classical,Sign,99,0.000541
Raspberry PI,ECDSA,Classical,Verify,99,0.000035
Raspberry PI,ECDH,Classical,KeyGen,100,0.002511
Raspberry PI,ECDH,Classical,SharedSecret,100,0.000273
Raspberry PI,ECDSA,Classical,Sign,100,0.000612
Raspberry PI,ECDSA,Classical,Verify,100,0.000042
Raspberry PI,ECDH,Classical,KeyGen,101,0.003062
Raspberry PI,ECDH,Classical,SharedSecret,101,0.000275
Raspberry PI,ECDSA,Classical,Sign,101,0.000572
Raspberry PI,ECDSA,Classical,Verify,101,0.000035
Raspberry PI,ECDH,Classical,KeyGen,102,0.003515
Raspberry PI,ECDH,Classical,SharedSecret,102,0.000312
Raspberry PI,ECDSA,Classical,Sign,102,0.000651
Raspberry PI,ECDSA,Classical,Verify,102,0.000048
Raspberry PI,ECDH,Classical,KeyGen,103,0.003069
Raspberry PI,ECDH,Classical,SharedSecret,103,0.000293
Raspberry PI,ECDSA,Classical,Sign,103,0.000942
Raspberry PI,ECDSA,Classical,Verify,103,0.000060
Raspberry PI,ECDH,Classical,KeyGen,104,0.002539
Raspberry PI,ECDH,Classical,SharedSecret,104,0.000272
Raspberry PI,ECDSA,Classical,Sign,104,0.000571
Raspberry PI,ECDSA,Classical,Verify,104,0.000042
Raspberry PI,ECDH,Classical,KeyGen,105,0.002712
Raspberry PI,ECDH,Classical,SharedSecret,105,0.000272
Raspberry PI,ECDSA,Classical,Sign,105,0.000552
Raspberry PI,ECDSA,Classical,Verify,105,0.000035
Raspberry PI,ECDH,Classical,KeyGen,106,0.003063
Raspberry PI,ECDH,Classical,SharedSecret,106,0.000275
Raspberry PI,ECDSA,Classical,Sign,106,0.000577
Raspberry PI,ECDSA,Classical,Verify,106,0.000036
Raspberry PI,ECDH,Classical,KeyGen,107,0.003435
Raspberry PI,ECDH,Classical,SharedSecret,107,0.000277
Raspberry PI,ECDSA,Classical,Sign,107,0.000633
Raspberry PI,ECDSA,Classical,Verify,107,0.000048
Raspberry PI,ECDH,Classical,KeyGen,108,0.002553
Raspberry PI,ECDH,Classical,SharedSecret,108,0.000281
Raspberry PI,ECDSA,Classical,Sign,108,0.000793
Raspberry PI,ECDSA,Classical,Verify,108,0.000053
Raspberry PI,ECDH,Classical,KeyGen,109,0.002637
Raspberry PI,ECDH,Classical,SharedSecret,109,0.000272
Raspberry PI,ECDSA,Classical,Sign,109,0.000558
Raspberry PI,ECDSA,Classical,Verify,109,0.000039
Raspberry PI,ECDH,Classical,KeyGen,110,0.002893
Raspberry PI,ECDH,Classical,SharedSecret,110,0.000273
Raspberry PI,ECDSA,Classical,Sign,110,0.000550
Raspberry PI,ECDSA,Classical,Verify,110,0.000036
Raspberry PI,ECDH,Classical,KeyGen,111,0.003125
Raspberry PI,ECDH,Classical,SharedSecret,111,0.000276
Raspberry PI,ECDSA,Classical,Sign,111,0.000681
Raspberry PI,ECDSA,Classical,Verify,111,0.000052
Raspberry PI,ECDH,Classical,KeyGen,112,0.003045
Raspberry PI,ECDH,Classical,SharedSecret,112,0.000287
Raspberry PI,ECDSA,Classical,Sign,112,0.000742
Raspberry PI,ECDSA,Classical,Verify,112,0.000045
