Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,8,0.002755,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,8,0.063891,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,8,0.003845,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,9,0.005556,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,9,0.000271,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,9,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,9,0.055735,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,9,0.000855,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,9,0.000113,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,9,0.002753,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,9,0.063773,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,9,0.004083,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,10,0.005554,5864,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,10,0.000350,5864,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,10,0.000166,5864,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,10,0.031994,5864,100%
Raspberri Pi,Falcon-512,PQC,Sign,10,0.000884,5864,100%
Raspberri Pi,Falcon-512,PQC,Verify,10,0.000115,5864,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,10,0.002760,5864,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,10,0.063801,5864,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,10,0.003897,5864,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,11,0.009027,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,11,0.000959,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,11,0.000247,5880,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,11,0.036232,5880,98%
Raspberri Pi,Falcon-512,PQC,Sign,11,0.001313,5880,98%
Raspberri Pi,Falcon-512,PQC,Verify,11,0.000172,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,11,0.004130,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,11,0.075064,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,11,0.003848,5880,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,12,0.005555,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,12,0.000908,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,12,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,12,0.017965,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,12,0.001072,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,12,0.000128,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,12,0.002790,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,12,0.063804,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,12,0.003801,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,13,0.005555,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,13,0.000273,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,13,0.000168,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,13,0.018238,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,13,0.000923,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,13,0.000126,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,13,0.002802,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,13,0.063999,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,13,0.003746,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,14,0.005555,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,14,0.000410,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,14,0.000166,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,14,0.018000,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,14,0.000945,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,14,0.000124,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,14,0.002835,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,14,0.063984,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,14,0.003774,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,15,0.005656,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,15,0.000400,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,15,0.000169,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,15,0.027831,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,15,0.000919,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,15,0.000114,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,15,0.002757,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,15,0.063790,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,15,0.003635,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,16,0.005653,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,16,0.000397,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,16,0.000166,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,16,0.030210,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,16,0.000870,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,16,0.000114,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,16,0.002752,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,16,0.064156,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,16,0.003923,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,17,0.005537,5868,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,17,0.000334,5868,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,17,0.000165,5868,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,17,0.018012,5868,100%
Raspberri Pi,Falcon-512,PQC,Sign,17,0.001146,5868,100%
Raspberri Pi,Falcon-512,PQC,Verify,17,0.000133,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,17,0.002812,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,17,0.063987,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,17,0.004009,5868,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,18,0.005544,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,18,0.000581,5880,100%
