Device,Algorithm,Type,Operation,Iteration,Time
Raspberry PI,ECDH,Classical,KeyGen,1,0.008619
Raspberry PI,ECDH,Classical,SharedSecret,1,0.000589
Raspberry PI,ECDSA,Classical,Sign,1,0.001345
Raspberry PI,ECDSA,Classical,Verify,1,0.000085
Raspberry PI,ECDH,Classical,KeyGen,2,0.003268
Raspberry PI,ECDH,Classical,SharedSecret,2,0.000296
Raspberry PI,ECDSA,Classical,Sign,2,0.000646
Raspberry PI,ECDSA,Classical,Verify,2,0.000044
Raspberry PI,ECDH,Classical,KeyGen,3,0.003373
Raspberry PI,ECDH,Classical,SharedSecret,3,0.000277
Raspberry PI,ECDSA,Classical,Sign,3,0.000633
Raspberry PI,ECDSA,Classical,Verify,3,0.000042
Raspberry PI,ECDH,Classical,KeyGen,4,0.002958
Raspberry PI,ECDH,Classical,SharedSecret,4,0.000289
Raspberry PI,ECDSA,Classical,Sign,4,0.000798
Raspberry PI,ECDSA,Classical,Verify,4,0.000051
Raspberry PI,ECDH,Classical,KeyGen,5,0.002857
Raspberry PI,ECDH,Classical,SharedSecret,5,0.000285
Raspberry PI,ECDSA,Classical,Sign,5,0.000740
Raspberry PI,ECDSA,Classical,Verify,5,0.000060
