Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDSA,Classical,Verify,26,0.000004
Laptop,ECDH,Classical,KeyGen,27,0.000543
Laptop,ECDH,Classical,SharedSecret,27,0.000045
Laptop,ECDSA,Classical,Sign,27,0.000103
Laptop,ECDSA,Classical,Verify,27,0.000004
Laptop,ECDH,Classical,KeyGen,28,0.000550
Laptop,ECDH,Classical,SharedSecret,28,0.000049
Laptop,ECDSA,Classical,Sign,28,0.000107
Laptop,ECDSA,Classical,Verify,28,0.000004
Laptop,ECDH,Classical,KeyGen,29,0.000448
Laptop,ECDH,Classical,SharedSecret,29,0.000045
Laptop,ECDSA,Classical,Sign,29,0.000101
Laptop,ECDSA,Classical,Verify,29,0.000004
Laptop,ECDH,Classical,KeyGen,30,0.000466
Laptop,ECDH,Classical,SharedSecret,30,0.000045
Laptop,ECDSA,Classical,Sign,30,0.000100
Laptop,ECDSA,Classical,Verify,30,0.000004
Laptop,ECDH,Classical,KeyGen,31,0.000499
Laptop,ECDH,Classical,SharedSecret,31,0.000045
Laptop,ECDSA,Classical,Sign,31,0.000104
Laptop,ECDSA,Classical,Verify,31,0.000004
Laptop,ECDH,Classical,KeyGen,32,0.000443
Laptop,ECDH,Classical,SharedSecret,32,0.000075
Laptop,ECDSA,Classical,Sign,32,0.000103
Laptop,ECDSA,Classical,Verify,32,0.000004
Laptop,ECDH,Classical,KeyGen,33,0.000479
Laptop,ECDH,Classical,SharedSecret,33,0.000049
Laptop,ECDSA,Classical,Sign,33,0.000105
Laptop,ECDSA,Classical,Verify,33,0.000004
Laptop,ECDH,Classical,KeyGen,34,0.000470
Laptop,ECDH,Classical,SharedSecret,34,0.000048
Laptop,ECDSA,Classical,Sign,34,0.000102
Laptop,ECDSA,Classical,Verify,34,0.000003
Laptop,ECDH,Classical,KeyGen,35,0.000495
Laptop,ECDH,Classical,SharedSecret,35,0.000049
Laptop,ECDSA,Classical,Sign,35,0.000107
Laptop,ECDSA,Classical,Verify,35,0.000004
Laptop,ECDH,Classical,KeyGen,36,0.000516
Laptop,ECDH,Classical,SharedSecret,36,0.000049
Laptop,ECDSA,Classical,Sign,36,0.000100
Laptop,ECDSA,Classical,Verify,36,0.000004
Laptop,ECDH,Classical,KeyGen,37,0.000471
Laptop,ECDH,Classical,SharedSecret,37,0.000045
Laptop,ECDSA,Classical,Sign,37,0.000100
Laptop,ECDSA,Classical,Verify,37,0.000003
Laptop,ECDH,Classical,KeyGen,38,0.000483
Laptop,ECDH,Classical,SharedSecret,38,0.000048
Laptop,ECDSA,Classical,Sign,38,0.000111
Laptop,ECDSA,Classical,Verify,38,0.000004
Laptop,ECDH,Classical,KeyGen,39,0.000461
Laptop,ECDH,Classical,SharedSecret,39,0.000051
Laptop,ECDSA,Classical,Sign,39,0.000101
Laptop,ECDSA,Classical,Verify,39,0.000004
Laptop,ECDH,Classical,KeyGen,40,0.000456
Laptop,ECDH,Classical,SharedSecret,40,0.000049
Laptop,ECDSA,Classical,Sign,40,0.000098
Laptop,ECDSA,Classical,Verify,40,0.000004
Laptop,ECDH,Classical,KeyGen,41,0.000540
Laptop,ECDH,Classical,SharedSecret,41,0.000052
Laptop,ECDSA,Classical,Sign,41,0.000113
Laptop,ECDSA,Classical,Verify,41,0.000004
Laptop,ECDH,Classical,KeyGen,42,0.000537
Laptop,ECDH,Classical,SharedSecret,42,0.000048
Laptop,ECDSA,Classical,Sign,42,0.000109
Laptop,ECDSA,Classical,Verify,42,0.000004
Laptop,ECDH,Classical,KeyGen,43,0.000525
