Device,Algorithm,Type,Operation,Iteration,Time
Raspberry PI,ECDH,Classical,KeyGen,1,0.008002
Raspberry PI,ECDH,Classical,SharedSecret,1,0.000682
Raspberry PI,ECDSA,Classical,Sign,1,0.001422
Raspberry PI,ECDSA,Classical,Verify,1,0.000095
Raspberry PI,ECDH,Classical,KeyGen,2,0.003140
Raspberry PI,ECDH,Classical,SharedSecret,2,0.000277
Raspberry PI,ECDSA,Classical,Sign,2,0.000588
Raspberry PI,ECDSA,Classical,Verify,2,0.000035
Raspberry PI,ECDH,Classical,KeyGen,3,0.003386
Raspberry PI,ECDH,Classical,SharedSecret,3,0.000304
Raspberry PI,ECDSA,Classical,Sign,3,0.000631
Raspberry PI,ECDSA,Classical,Verify,3,0.000042
Raspberry PI,ECDH,Classical,KeyGen,4,0.002487
Raspberry PI,ECDH,Classical,SharedSecret,4,0.000283
Raspberry PI,ECDSA,Classical,Sign,4,0.000787
Raspberry PI,ECDSA,Classical,Verify,4,0.000075
Raspberry PI,ECDH,Classical,KeyGen,5,0.002633
Raspberry PI,ECDH,Classical,SharedSecret,5,0.000272
Raspberry PI,ECDSA,Classical,Sign,5,0.000542
Raspberry PI,ECDSA,Classical,Verify,5,0.000036
Raspberry PI,ECDH,Classical,KeyGen,6,0.003296
Raspberry PI,ECDH,Classical,SharedSecret,6,0.000277
Raspberry PI,ECDSA,Classical,Sign,6,0.000612
Raspberry PI,ECDSA,Classical,Verify,6,0.000044
Raspberry PI,ECDH,Classical,KeyGen,7,0.002448
Raspberry PI,ECDH,Classical,SharedSecret,7,0.000273
Raspberry PI,ECDSA,Classical,Sign,7,0.000645
Raspberry PI,ECDSA,Classical,Verify,7,0.000042
Raspberry PI,ECDH,Classical,KeyGen,8,0.002719
Raspberry PI,ECDH,Classical,SharedSecret,8,0.000273
Raspberry PI,ECDSA,Classical,Sign,8,0.000546
Raspberry PI,ECDSA,Classical,Verify,8,0.000035
Raspberry PI,ECDH,Classical,KeyGen,9,0.003032
Raspberry PI,ECDH,Classical,SharedSecret,9,0.000343
Raspberry PI,ECDSA,Classical,Sign,9,0.000592
Raspberry PI,ECDSA,Classical,Verify,9,0.000035
Raspberry PI,ECDH,Classical,KeyGen,10,0.003113
Raspberry PI,ECDH,Classical,SharedSecret,10,0.000286
Raspberry PI,ECDSA,Classical,Sign,10,0.000775
Raspberry PI,ECDSA,Classical,Verify,10,0.000046
Raspberry PI,ECDH,Classical,KeyGen,11,0.002546
Raspberry PI,ECDH,Classical,SharedSecret,11,0.000276
Raspberry PI,ECDSA,Classical,Sign,11,0.000816
Raspberry PI,ECDSA,Classical,Verify,11,0.000054
Raspberry PI,ECDH,Classical,KeyGen,12,0.002461
Raspberry PI,ECDH,Classical,SharedSecret,12,0.000348
Raspberry PI,ECDSA,Classical,Sign,12,0.000558
Raspberry PI,ECDSA,Classical,Verify,12,0.000036
Raspberry PI,ECDH,Classical,KeyGen,13,0.003143
Raspberry PI,ECDH,Classical,SharedSecret,13,0.000306
Raspberry PI,ECDSA,Classical,Sign,13,0.000600
Raspberry PI,ECDSA,Classical,Verify,13,0.000035
Raspberry PI,ECDH,Classical,KeyGen,14,0.003450
Raspberry PI,ECDH,Classical,SharedSecret,14,0.000309
Raspberry PI,ECDSA,Classical,Sign,14,0.000703
Raspberry PI,ECDSA,Classical,Verify,14,0.000048
Raspberry PI,ECDH,Classical,KeyGen,15,0.002519
Raspberry PI,ECDH,Classical,SharedSecret,15,0.000286
Raspberry PI,ECDSA,Classical,Sign,15,0.000772
Raspberry PI,ECDSA,Classical,Verify,15,0.000054
Raspberry PI,ECDH,Classical,KeyGen,16,0.002458
Raspberry PI,ECDH,Classical,SharedSecret,16,0.000391
Raspberry PI,ECDSA,Classical,Sign,16,0.000554
Raspberry PI,ECDSA,Classical,Verify,16,0.000035
Raspberry PI,ECDH,Classical,KeyGen,17,0.002882
Raspberry PI,ECDH,Classical,SharedSecret,17,0.000275
Raspberry PI,ECDSA,Classical,Sign,17,0.000566
Raspberry PI,ECDSA,Classical,Verify,17,0.000034
Raspberry PI,ECDH,Classical,KeyGen,18,0.003351
Raspberry PI,ECDH,Classical,SharedSecret,18,0.000275
Raspberry PI,ECDSA,Classical,Sign,18,0.000663
Raspberry PI,ECDSA,Classical,Verify,18,0.000049
Raspberry PI,ECDH,Classical,KeyGen,19,0.002449
Raspberry PI,ECDH,Classical,SharedSecret,19,0.000276
Raspberry PI,ECDSA,Classical,Sign,19,0.000792
Raspberry PI,ECDSA,Classical,Verify,19,0.000059
Raspberry PI,ECDH,Classical,KeyGen,20,0.002625
Raspberry PI,ECDH,Classical,SharedSecret,20,0.000273
Raspberry PI,ECDSA,Classical,Sign,20,0.000546
Raspberry PI,ECDSA,Classical,Verify,20,0.000036
Raspberry PI,ECDH,Classical,KeyGen,21,0.002972
Raspberry PI,ECDH,Classical,SharedSecret,21,0.000277
Raspberry PI,ECDSA,Classical,Sign,21,0.000580
Raspberry PI,ECDSA,Classical,Verify,21,0.000035
Raspberry PI,ECDH,Classical,KeyGen,22,0.003437
Raspberry PI,ECDH,Classical,SharedSecret,22,0.000274
Raspberry PI,ECDSA,Classical,Sign,22,0.000721
Raspberry PI,ECDSA,Classical,Verify,22,0.000059
Raspberry PI,ECDH,Classical,KeyGen,23,0.002470
Raspberry PI,ECDH,Classical,SharedSecret,23,0.000366
Raspberry PI,ECDSA,Classical,Sign,23,0.000608
Raspberry PI,ECDSA,Classical,Verify,23,0.000041
Raspberry PI,ECDH,Classical,KeyGen,24,0.002728
Raspberry PI,ECDH,Classical,SharedSecret,24,0.000272
Raspberry PI,ECDSA,Classical,Sign,24,0.000555
Raspberry PI,ECDSA,Classical,Verify,24,0.000036
Raspberry PI,ECDH,Classical,KeyGen,25,0.003050
Raspberry PI,ECDH,Classical,SharedSecret,25,0.000304
Raspberry PI,ECDSA,Classical,Sign,25,0.000601
Raspberry PI,ECDSA,Classical,Verify,25,0.000036
Raspberry PI,ECDH,Classical,KeyGen,26,0.003137
Raspberry PI,ECDH,Classical,SharedSecret,26,0.000285
Raspberry PI,ECDSA,Classical,Sign,26,0.000683
Raspberry PI,ECDSA,Classical,Verify,26,0.000045
Raspberry PI,ECDH,Classical,KeyGen,27,0.002463
